ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Brazil,"DEN 1,2,3,4",2020,Out,40,0.058023505,0.039,752589,544,40,669.55,208495,810,1395986
4,Brazil,"DEN 1,2,3,4",2020,Out,43,0.057490674,0.039,755966,548,43,677.43,208495,812,1412403
4,Brazil,"DEN 1,2,3,4",2020,Out,28,0.059339051,0.040,726133,517,28,623.19,208495,771,1299313
4,Brazil,"DEN 1,2,3,4",2020,Out,29,0.059184578,0.040,730415,523,29,629.68,208495,777,1312842
4,Brazil,"DEN 1,2,3,4",2020,Out,31,0.059126900,0.039,736865,527,31,640.02,208495,789,1334418
4,Brazil,"DEN 1,2,3,4",2020,Out,33,0.058680973,0.039,741705,531,33,648.16,208495,793,1351375
4,Brazil,"DEN 1,2,3,4",2020,Out,35,0.058267199,0.039,745280,536,35,654.41,208495,795,1364404
4,Brazil,"DEN 1,2,3,4",2020,Out,36,0.058284070,0.039,746900,539,36,657.51,208495,799,1370872
4,Brazil,"DEN 1,2,3,4",2020,Out,16,0.065485170,0.045,559479,422,16,451.17,208495,616,940671
4,Brazil,"DEN 1,2,3,4",2020,Out,17,0.063932807,0.044,587044,435,17,474.88,208495,633,990102
4,Brazil,"DEN 1,2,3,4",2020,Out,19,0.062517598,0.043,635556,461,19,517.85,208495,675,1079696
4,Brazil,"DEN 1,2,3,4",2020,Out,21,0.062073300,0.042,669777,487,21,551.69,208495,714,1150253
4,Brazil,"DEN 1,2,3,4",2020,Out,24,0.061253291,0.041,700311,505,24,587.27,208495,750,1224424
4,Brazil,"DEN 1,2,3,4",2020,Out,26,0.060118420,0.040,715118,510,26,607.13,208495,761,1265835
4,Brazil,"DEN 1,2,3,4",2020,Out,5,0.083334619,0.049,114601,95,5,93.24,208495,162,194397
4,Brazil,"DEN 1,2,3,4",2020,Out,7,0.078336953,0.047,207115,163,7,166.54,208495,272,347218
