ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Colombia,"DEN 1,2,3,4",2014,Out,1,2.557651992,0.000,240,0,1,4.87,48930,61,2385
3,Colombia,"DEN 1,2,3,4",2014,Out,2,2.472415202,0.000,879,0,2,10.00,48930,121,4894
3,Colombia,"DEN 1,2,3,4",2014,Out,4,2.491506229,0.000,1608,0,4,19.85,48930,242,9713
3,Colombia,"DEN 1,2,3,4",2014,Out,6,2.509736045,0.000,3620,0,6,28.34,48930,348,13866
3,Colombia,"DEN 1,2,3,4",2014,Out,9,2.511311067,0.000,7488,0,9,40.20,48930,494,19671
3,Colombia,"DEN 1,2,3,4",2014,Out,11,2.529099623,0.000,9373,0,11,47.76,48930,591,23368
3,Colombia,"DEN 1,2,3,4",2014,Out,31,2.472044277,0.056,27473,35,31,126.66,48930,1532,61973
3,Colombia,"DEN 1,2,3,4",2014,Out,38,2.520708180,0.074,34532,56,38,154.45,48930,1905,75574
3,Colombia,"DEN 1,2,3,4",2014,Out,43,2.547748662,0.081,39373,70,43,177.20,48930,2209,86704
3,Colombia,"DEN 1,2,3,4",2014,Out,45,2.529240569,0.083,41069,76,45,186.09,48930,2303,91055
3,Colombia,"DEN 1,2,3,4",2014,Out,50,2.510608902,0.087,45280,88,50,207.09,48930,2544,101330
3,Colombia,"DEN 1,2,3,4",2014,Out,5,2.490681125,0.000,3556,0,5,24.12,48930,294,11804
3,Colombia,"DEN 1,2,3,4",2014,Out,7,2.422297722,0.000,3987,0,7,32.48,48930,385,15894
3,Colombia,"DEN 1,2,3,4",2014,Out,12,2.531946980,0.000,9373,0,12,51.50,48930,638,25198
3,Colombia,"DEN 1,2,3,4",2014,Out,19,2.425622105,0.042,16319,16,19,78.11,48930,927,38217
3,Colombia,"DEN 1,2,3,4",2014,Out,24,2.402088773,0.056,20846,27,24,97.84,48930,1150,47875
3,Colombia,"DEN 1,2,3,4",2014,Out,26,2.398584952,0.052,22561,27,26,105.14,48930,1234,51447
3,Colombia,"DEN 1,2,3,4",2014,Out,34,2.525618466,0.075,30328,51,34,138.21,48930,1708,67627
3,Colombia,"DEN 1,2,3,4",2014,Out,36,2.537258974,0.072,32572,51,36,145.63,48930,1808,71258
3,Colombia,"DEN 1,2,3,4",2014,Out,41,2.558224607,0.084,37189,69,41,167.61,48930,2098,82010
3,Colombia,"DEN 1,2,3,4",2016,Out,49,0.892612338,0.040,43050,39,49,202.40,48654,879,98475
3,Colombia,"DEN 1,2,3,4",2016,Out,2,1.605465414,0.000,1003,0,2,12.03,48654,94,5855
3,Colombia,"DEN 1,2,3,4",2016,Out,4,1.441985245,0.000,3098,0,4,24.52,48654,172,11928
3,Colombia,"DEN 1,2,3,4",2016,Out,9,1.355343822,0.000,8690,0,9,55.65,48654,367,27078
3,Colombia,"DEN 1,2,3,4",2016,Out,11,1.300532748,0.000,10712,0,11,65.59,48654,415,31910
3,Colombia,"DEN 1,2,3,4",2016,Out,16,1.204603866,0.011,16256,5,16,91.97,48654,539,44745
3,Colombia,"DEN 1,2,3,4",2016,Out,21,1.085118863,0.024,21899,14,21,119.14,48654,629,57966
3,Colombia,"DEN 1,2,3,4",2016,Out,23,1.043844643,0.022,21899,14,23,129.76,48654,659,63132
3,Colombia,"DEN 1,2,3,4",2016,Out,28,0.978492146,0.026,21899,19,28,151.66,48654,722,73787
3,Colombia,"DEN 1,2,3,4",2016,Out,30,0.953061092,0.030,21899,23,30,158.29,48654,734,77015
3,Colombia,"DEN 1,2,3,4",2016,Out,35,0.929918499,0.038,36774,32,35,173.50,48654,785,84416
3,Colombia,"DEN 1,2,3,4",2016,Out,40,0.906586081,0.041,37423,37,40,185.00,48654,816,90008
3,Colombia,"DEN 1,2,3,4",2016,Out,42,0.901135931,0.042,40412,39,42,189.08,48654,829,91995
3,Colombia,"DEN 1,2,3,4",2016,Out,47,0.888879702,0.040,43050,39,47,198.86,48654,860,96751
3,Colombia,"DEN 1,2,3",2019,Out,33,1.072338929,0.055,21493,44,33,161.00,49465,854,79639
3,Colombia,"DEN 1,2,3",2019,Out,52,1.102286893,0.068,38016,87,52,257.87,49465,1406,127553
3,Colombia,"DEN 1,2,3",2019,Out,2,1.325869181,0.000,,0,2,6.86,49465,45,3394
3,Colombia,"DEN 1,2,3",2019,Out,4,1.221126968,0.000,,0,4,13.74,49465,83,6797
3,Colombia,"DEN 1,2,3",2019,Out,9,1.149134992,0.000,,0,9,32.02,49465,182,15838
3,Colombia,"DEN 1,2,3",2019,Out,14,1.132901008,0.031,,8,14,51.75,49465,290,25598
3,Colombia,"DEN 1,2,3",2019,Out,16,1.117280607,0.058,7647,17,16,59.71,49465,330,29536
3,Colombia,"DEN 1,2,3",2019,Out,21,1.090139928,0.042,11093,18,21,86.97,49465,469,43022
3,Colombia,"DEN 1,2,3",2019,Out,23,1.090377470,0.041,12626,20,23,99.56,49465,537,49249
3,Colombia,"DEN 1,2,3",2019,Out,28,1.047910973,0.038,16847,25,28,133.89,49465,694,66227
3,Colombia,"DEN 1,2,3",2019,Out,40,1.063148324,0.067,27347,65,40,195.67,49465,1029,96788
3,Colombia,"DEN 1,2,3",2019,Out,42,1.077831285,0.068,28795,69,42,204.45,49465,1090,101129
3,Colombia,"DEN 1,2,3",2019,Out,35,1.085723737,0.057,23341,48,35,171.12,49465,919,84644
3,Colombia,"DEN 1,2,3",2019,Out,47,1.080934655,0.067,32673,77,47,231.35,49465,1237,114438
3,Colombia,"DEN 1,2,3,4",2016,Out,50,0.893521966,0.039,43050,39,50,204.26,48654,888,99382
3,Colombia,"DEN 1,2,3,4",2016,Out,52,0.889958026,0.059,45809,60,52,207.62,48654,899,101016
3,Colombia,"DEN 1,2,3,4",2014,Out,46,2.521486282,0.083,41968,77,46,190.47,48930,2350,93199
3,Colombia,"DEN 1,2,3,4",2014,Out,48,2.523301921,0.079,43764,77,48,198.44,48930,2450,97095
3,Colombia,"DEN 1,2,3,4",2014,Out,10,2.523982490,0.000,8469,0,10,43.89,48930,542,21474
3,Colombia,"DEN 1,2,3,4",2014,Out,15,2.491264398,0.032,11994,10,15,63.17,48930,770,30908
3,Colombia,"DEN 1,2,3,4",2014,Out,17,2.443472974,0.041,14317,14,17,70.59,48930,844,34541
3,Colombia,"DEN 1,2,3,4",2014,Out,22,2.405121171,0.046,19939,20,22,89.39,48930,1052,43740
3,Colombia,"DEN 1,2,3,4",2014,Out,27,2.427139150,0.054,23485,29,27,109.46,48930,1300,53561
3,Colombia,"DEN 1,2,3,4",2014,Out,29,2.448852533,0.054,25464,31,29,118.17,48930,1416,57823
3,Colombia,"DEN 1,2,3,4",2014,Out,47,2.524255534,0.081,42987,77,47,194.64,48930,2404,95236
3,Colombia,"DEN 1,2,3,4",2014,Out,49,2.525838165,0.085,44547,84,49,202.69,48930,2505,99175
3,Colombia,"DEN 1,2,3,4",2014,Out,51,2.488711845,0.085,46099,88,51,211.38,48930,2574,103427
3,Colombia,"DEN 1,2,3,4",2014,Out,52,2.465730049,0.083,46842,88,52,215.59,48930,2601,105486
3,Colombia,"DEN 1,2,3,4",2014,Out,3,2.440033085,0.000,1608,0,3,14.83,48930,177,7254
3,Colombia,"DEN 1,2,3,4",2014,Out,8,2.455768265,0.000,6463,0,8,36.62,48930,440,17917
3,Colombia,"DEN 1,2,3,4",2014,Out,35,2.533981002,0.074,31579,51,35,141.79,48930,1758,69377
3,Colombia,"DEN 1,2,3,4",2014,Out,37,2.531542088,0.075,33467,55,37,150.00,48930,1858,73394
