name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lima, Peru",1/1/2020,25,20.9,22.4,25,20.9,22.4,19.4,83.72,0,,0,,,,,27.7,167.5,1016.2,58.1,10,,,,,2020-01-01T05:46:59,2020-01-01T18:36:03,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/2/2020,26.9,20.5,22.8,28.1,20.5,22.9,19.2,80.72,0,,0,,,,,24.1,171.2,1016,77.2,9.8,,,,,2020-01-02T05:47:33,2020-01-02T18:36:25,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/3/2020,25.8,20.9,22.7,25.8,20.9,22.7,18.7,78.83,0,,0,,,,,31.3,161.2,1015.9,45.5,10,,,,,2020-01-03T05:48:06,2020-01-03T18:36:47,0.26,Partially cloudy,Partly cloudy throughout the day.,wind,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/4/2020,26.1,20.9,22.8,26.1,20.9,22.8,19.9,84.4,0.2,,4.17,,,,,22.3,170.3,1017.3,71.7,9.9,,,,,2020-01-04T05:48:40,2020-01-04T18:37:08,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/5/2020,26.9,20.9,22.9,28.1,20.9,23,19.5,81.77,0,,0,,,,,27.3,166.2,1017.2,54.3,10,,,,,2020-01-05T05:49:13,2020-01-05T18:37:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/6/2020,25.1,19.9,22.4,25.1,19.9,22.5,19.2,82.52,0,,0,,,,,25.9,168.8,1017.3,38.9,10,,,,,2020-01-06T05:49:47,2020-01-06T18:37:48,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/7/2020,28.3,20.9,23.6,30.2,20.9,23.8,19.3,77.44,0,,0,,,,,22,171,1015.8,53.6,10,,,,,2020-01-07T05:50:21,2020-01-07T18:38:06,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/8/2020,25.1,21.8,23.2,25.1,21.8,23.2,19.9,82.3,0,,0,,,,,33.1,163,1016.7,61.8,9.8,,,,,2020-01-08T05:50:54,2020-01-08T18:38:23,0.47,Partially cloudy,Clearing in the afternoon.,wind,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/9/2020,25.4,21.4,22.9,25.4,21.4,22.9,20,84.17,0.4,,4.17,,,,,32.9,160,1014.4,77.6,10,,,,,2020-01-09T05:51:28,2020-01-09T18:38:40,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"8,462,809,999,984,600,000,000"
"Lima, Peru",1/10/2020,25,20.9,22.5,25,20.9,22.5,19.6,84.18,0.6,,8.33,,,,,36.5,172.7,1011.7,70.1,9.8,,,,,2020-01-10T05:52:01,2020-01-10T18:38:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"8,462,809,999,984,600,000,000"
