name,Year,EW,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nairobi,2020,1,1/1/2020,25.5,14.9,20.2,25.5,14.9,20.2,13.5,68.02,0,,0,,,,,32.6,60.6,,27.7,12.3,,,,,2020-01-01T06:30:11,2020-01-01T18:41:48,0.17,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,1,1/2/2020,25,16,19.9,25,16,19.9,13.8,70.16,0,,0,,,,,36.2,72.6,,46.4,12.9,,,,,2020-01-02T06:30:40,2020-01-02T18:42:15,0.22,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,1,1/3/2020,25,16.9,20.3,25,16.9,20.3,14.6,71.57,0,,0,,,,,36.5,43.3,,67.6,12.1,,,,,2020-01-03T06:31:08,2020-01-03T18:42:42,0.26,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,1,1/4/2020,24.1,16,19.8,24.1,16,19.8,13.8,71.03,0,,0,,,,,32.4,87.5,,59.2,12.5,,,,,2020-01-04T06:31:37,2020-01-04T18:43:09,0.31,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/5/2020,26.8,14.2,20.6,26.7,14.2,20.6,13.9,67.98,0,,0,,,,,24.3,86.1,,51.5,13.5,,,,,2020-01-05T06:32:05,2020-01-05T18:43:35,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/6/2020,26.1,18.7,21.6,26.1,18.7,21.6,15.7,70.77,0,,0,,,,,26.7,51.6,,73.9,12.1,,,,,2020-01-06T06:32:32,2020-01-06T18:44:01,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/7/2020,23.1,16.9,19.7,23.1,16.9,19.7,16.6,83.05,5,,8.33,,,,,32.4,56,,78.4,12.3,,,,,2020-01-07T06:32:59,2020-01-07T18:44:26,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/8/2020,23,16.1,18.9,23,16.1,18.9,15.6,82.4,1,,4.17,,,,,21.7,56.7,,64.8,11.6,,,,,2020-01-08T06:33:26,2020-01-08T18:44:51,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/9/2020,24.9,15.8,19.3,24.9,15.8,19.3,15.9,82.6,0.5,,4.17,,,,,27.1,52.9,,68.9,12,,,,,2020-01-09T06:33:53,2020-01-09T18:45:15,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/10/2020,26.1,17.6,21.1,26.1,17.6,21.1,15.6,73.37,0,,0,,,,,22.3,80.1,,62.5,12.7,,,,,2020-01-10T06:34:18,2020-01-10T18:45:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,2,1/11/2020,27,16.7,21.1,26.8,16.7,21.1,14.8,70.4,3,,4.17,,,,,18.4,123.4,,58.9,11.2,,,,,2020-01-11T06:34:44,2020-01-11T18:46:02,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/12/2020,25.3,16,20.6,25.3,16,20.6,15.8,75.56,0.2,,4.17,,,,,31.4,225.5,,79.6,12.4,,,,,2020-01-12T06:35:09,2020-01-12T18:46:24,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/13/2020,24.9,15.5,18.7,24.9,15.5,18.7,15.6,83.84,118.8,,12.5,,,,,17.6,193.4,,73.3,11.2,,,,,2020-01-13T06:35:33,2020-01-13T18:46:46,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/14/2020,24,16,19.6,24,16,19.6,16.4,82.79,3,,4.17,,,,,25.3,126.3,,76.2,12.3,,,,,2020-01-14T06:35:57,2020-01-14T18:47:07,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/15/2020,25.1,16.2,20.4,25.1,16.2,20.4,15.7,77.21,14,,4.17,,,,,26.9,56.2,,75.4,12.6,,,,,2020-01-15T06:36:20,2020-01-15T18:47:28,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/16/2020,25,17.5,20.5,25,17.5,20.5,16.4,78.52,0,,0,,,,,25.1,60.5,,82,12.1,,,,,2020-01-16T06:36:42,2020-01-16T18:47:48,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/17/2020,25,16.9,20.5,25,16.9,20.5,16,77.21,0,,0,,,,,22.1,67.3,,79.5,12.3,,,,,2020-01-17T06:37:04,2020-01-17T18:48:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,3,1/18/2020,26,16,21,26,16,21,15.8,73.51,0,,0,,,,,18.4,85,,53.7,11.9,,,,,2020-01-18T06:37:26,2020-01-18T18:48:25,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/19/2020,26.9,17.5,21.1,27.2,17.5,21.1,15.2,70.19,0,,0,,,,,28.9,70.3,,64.4,12.1,,,,,2020-01-19T06:37:46,2020-01-19T18:48:42,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/20/2020,26.9,15,21.1,27.2,15,21.1,15.6,73.15,0,,0,,,,,20.7,106.8,,58.1,12.1,,,,,2020-01-20T06:38:06,2020-01-20T18:48:59,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/21/2020,26.9,16.9,21.4,27.2,16.9,21.4,15.7,71.45,0,,0,,,,,20.3,78.1,,57.1,13.2,,,,,2020-01-21T06:38:25,2020-01-21T18:49:15,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/22/2020,26,16.5,21.3,26,16.5,21.3,14.9,68.15,0,,0,,,,,18.4,88.9,,55.4,13.8,,,,,2020-01-22T06:38:44,2020-01-22T18:49:30,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/23/2020,24,17.7,20.4,24,17.7,20.4,16.6,79.51,20,,4.17,,,,,20.3,72.1,,82.1,12,,,,,2020-01-23T06:39:02,2020-01-23T18:49:45,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/24/2020,23,17.9,20.1,23,17.9,20.1,15.9,77.76,0,,0,,,,,25.3,97.6,,81.2,12.4,,,,,2020-01-24T06:39:19,2020-01-24T18:49:58,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,4,1/25/2020,24.1,16.2,20,24.1,16.2,20,16.5,81.84,0,,0,,,,,30.8,57.7,,76.9,12.8,,,,,2020-01-25T06:39:35,2020-01-25T18:50:11,0,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,1/26/2020,22.1,16.9,19,22.1,16.9,19,16.9,88.18,6,,8.33,,,,,27.1,73.4,,75.8,11.1,,,,,2020-01-26T06:39:51,2020-01-26T18:50:23,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,1/27/2020,21.9,17.1,18.8,21.9,17.1,18.8,17.1,90.31,2,,4.17,,,,,28.3,46.2,,81.2,11.8,,,,,2020-01-27T06:40:06,2020-01-27T18:50:34,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,1/28/2020,22,16.1,18.6,22,16.1,18.6,16.6,88.7,0.4,,4.17,,,,,22.3,44,,81.9,11.6,,,,,2020-01-28T06:40:20,2020-01-28T18:50:45,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,1/29/2020,24.1,16.9,19.8,24.1,16.9,19.8,16.2,81.24,0.2,,4.17,,,,,25.3,86.4,,82.2,12.1,,,,,2020-01-29T06:40:33,2020-01-29T18:50:54,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,1/30/2020,24,16,19.7,24,16,19.7,16.1,81.2,2.8,,4.17,,,,,28.7,92,,74.9,12,,,,,2020-01-30T06:40:45,2020-01-30T18:51:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,1/31/2020,25.7,16.8,20.7,25.7,16.8,20.7,16,77.1,18,,4.17,,,,,22.3,68.6,,65.1,11.9,,,,,2020-01-31T06:40:57,2020-01-31T18:51:10,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,5,2/1/2020,24.9,15.9,18.9,24.9,15.9,19,16.1,84.85,9,,8.33,,,,,24.5,178.5,,68.1,11.4,,,,,2020-02-01T06:41:08,2020-02-01T18:51:17,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,6,2/2/2020,24,16,19.5,24,16,19.5,16,81.65,10,,4.17,,,,,20.7,137.6,,72.7,11.6,,,,,2020-02-02T06:41:18,2020-02-02T18:51:23,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
