ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Peru,"DEN 1,2,3,4",2015,Out,52,0.343220694,0.114,32511,41,52,115.01,31161,123,35837
3,Peru,"DEN 1,2,3,4",2015,Out,28,0.312775197,0.097,15155,32,28,105.68,31161,103,32931
3,Peru,"DEN 1,2,3,4",2015,Out,33,0.329295880,0.106,16857,37,33,112.07,31161,115,34923
3,Peru,"DEN 1,2,3,4",2015,Out,35,0.321543408,0.109,17747,39,35,114.77,31161,115,35765
3,Peru,"DEN 1,2,3,4",2015,Out,40,0.325829384,0.110,18098,41,40,119.17,31161,121,37136
3,Peru,"DEN 1,2,3,4",2015,Out,45,0.337298993,0.107,18593,41,45,122.73,31161,129,38245
3,Peru,"DEN 1,2,3,4",2015,Out,47,0.336208919,0.107,19424,41,47,123.13,31161,129,38369
3,Peru,"DEN 1,2,3,4",2015,Out,9,0.377714825,0.071,1861,3,9,13.59,31161,16,4236
3,Peru,"DEN 1,2,3,4",2015,Out,14,0.305702528,0.153,1765,13,14,27.29,31161,26,8505
3,Peru,"DEN 1,2,3,4",2015,Out,16,0.395290160,0.118,4932,14,16,38.16,31161,47,11890
3,Peru,"DEN 1,2,3,4",2015,Out,21,0.297384763,0.087,9714,20,21,73.38,31161,68,22866
3,Peru,"DEN 1,2,3,4",2015,Out,26,0.329372255,0.103,14459,32,26,99.38,31161,102,30968
3,Peru,"DEN 1,2,3,4",2015,Out,27,0.329372255,0.103,14459,32,26,99.38,31161,102,30968
3,Peru,"DEN 1,2,3,4",2015,Out,36,0.318586032,0.111,17650,40,36,115.84,31161,115,36097
3,Peru,"DEN 1,2,3,4",2016,Out,40,0.400562193,0.126,14910,36,40,89.57,31774,114,28460
3,Peru,"DEN 1,2,3,4",2016,Out,42,0.401771917,0.127,15006,37,42,91.65,31774,117,29121
3,Peru,"DEN 1,2,3,4",2016,Out,45,0.401190198,0.124,15440,37,45,94.14,31774,120,29911
3,Peru,"DEN 1,2,3,4",2016,Out,47,0.407291838,0.122,16367,37,47,95.82,31774,124,30445
3,Peru,"DEN 1,2,3,4",2016,Out,49,0.403955533,0.120,16643,37,49,97.39,31774,125,30944
3,Peru,"DEN 1,2,3,4",2016,Out,26,0.324142928,0.103,12352,27,26,82.53,31774,85,26223
3,Peru,"DEN 1,2,3,4",2016,Out,28,0.315480830,0.100,12984,27,28,84.80,31774,85,26943
3,Peru,"DEN 1,2,3,4",2016,Out,30,0.342402710,0.118,13192,32,30,85.48,31774,93,27161
3,Peru,"DEN 1,2,3,4",2016,Out,31,0.363609652,0.121,13192,33,31,85.69,31774,99,27227
3,Peru,"DEN 1,2,3,4",2016,Out,35,0.374410483,0.122,14457,34,35,87.42,31774,104,27777
3,Peru,"DEN 1,2,3,4",2016,Out,37,0.384875806,0.125,14583,35,37,88.31,31774,108,28061
3,Peru,"DEN 1,2,3,4",2016,Out,7,0.429017161,0.078,1573,4,7,16.14,31774,22,5128
3,Peru,"DEN 1,2,3,4",2016,Out,9,0.382283153,0.079,2339,6,9,23.87,31774,29,7586
3,Peru,"DEN 1,2,3,4",2016,Out,12,0.327028460,0.097,3781,11,12,35.61,31774,37,11314
