name,Year,EW,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Phnom Penh,2020,1,1/1/2020,33,24,29.1,33.5,24,29.6,17.6,50.81,0,,0,,,,,24.1,40.5,,30.2,9.5,,,,,2020-01-01T06:19:56,2020-01-01T17:47:27,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,1,1/2/2020,34,24,29.1,39.6,24,30.5,19.4,57.73,0,,0,,,,,18.4,49,,28.3,9.7,,,,,2020-01-02T06:20:20,2020-01-02T17:48:00,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,1,1/3/2020,33,25,28.6,34.6,25,30,20,60.4,0,,0,,,,,85.3,96.8,,32.9,9.8,,,,,2020-01-03T06:20:43,2020-01-03T17:48:33,0.26,Partially cloudy,Partly cloudy throughout the day.,wind,"VDPP,48991099999"
Phnom Penh,2020,1,1/4/2020,32,24,27.9,33.5,24,28.7,18.4,57.02,0,,0,,,,,25.9,65.9,,39.5,9.5,,,,,2020-01-04T06:21:05,2020-01-04T17:49:06,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/5/2020,33,24,28,33.5,24,28.5,17.5,54.01,0,,0,,,,,25.9,64.7,,25.7,9.5,,,,,2020-01-05T06:21:27,2020-01-05T17:49:40,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/6/2020,33,22.6,27.9,34,22.6,28.4,18.1,56.41,0,,0,,,,,16.6,97.5,1015,22.8,9.4,,,,,2020-01-06T06:21:47,2020-01-06T17:50:13,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/7/2020,33,24,28.2,35.3,24,29.4,19.1,58.52,0,,0,,,,,9.4,178.6,,30.8,9.4,,,,,2020-01-07T06:22:07,2020-01-07T17:50:46,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/8/2020,33,26,29.8,37,26,32.8,21.9,63.76,0,,0,,,,,13,150.6,,50,9,,,,,2020-01-08T06:22:26,2020-01-08T17:51:19,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/9/2020,35,24.9,29.9,36.2,24.9,31.4,20,57.2,0,,0,,,,,13,111.8,1011.9,31.5,9.7,,,,,2020-01-09T06:22:44,2020-01-09T17:51:52,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/10/2020,35,26,30.2,37.3,26,32.6,21.3,60.32,0,,0,,,,,14.8,151.1,,28,9.5,,,,,2020-01-10T06:23:01,2020-01-10T17:52:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,2,1/11/2020,33,25,28.1,37,25,30.3,22.5,72.18,0,,0,,,,,14.8,164.5,1010.8,40.1,9.3,,,,,2020-01-11T06:23:17,2020-01-11T17:52:58,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,3,1/12/2020,32,24,27.9,35.8,24,29.7,22.2,72.74,0,,0,,,,,14.8,146.7,1001.6,39.8,9.3,,,,,2020-01-12T06:23:32,2020-01-12T17:53:30,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,3,1/13/2020,34,24,28.4,33,24,28.7,19.2,61.62,0,,0,,,,,22.3,73,,29.9,9.6,,,,,2020-01-13T06:23:47,2020-01-13T17:54:03,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,3,1/14/2020,33,24,28.2,33,24,28.9,19.1,60.33,0,,0,,,,,14.8,115,,24.5,9.4,,,,,2020-01-14T06:24:00,2020-01-14T17:54:35,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
Phnom Penh,2020,3,1/15/2020,32,23,27.4,34.1,23,28.1,20,65.94,0,,0,,,,,11.2,153.3,,22.5,9.5,,,,,2020-01-15T06:24:12,2020-01-15T17:55:06,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VDPP,48991099999"
