name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Salvador, Brazil",1/1/2020,30.2,24.2,26.3,34.3,24.2,27.4,22.6,80.64,0,,0,,,,,14.3,51.7,1010.8,8.4,11.4,,,0,,2020-01-01T05:11:14,2020-01-01T18:03:40,0.17,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/2/2020,29.1,23.6,26.2,34.2,23.6,27.7,22.7,81.04,0,,0,,,,,9.7,110,1011.1,10.5,11.1,,,0,,2020-01-02T05:11:47,2020-01-02T18:04:02,0.22,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/3/2020,29.1,25,26.1,34.1,25,26.7,23.4,85.22,0,,0,,,,,8.1,71.9,1011.6,6,10.2,,,0,,2020-01-03T05:12:21,2020-01-03T18:04:24,0.26,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/4/2020,30.1,25,27.3,35,25,29.4,23.2,78.43,0,,0,,,,,10.1,73,1011.4,10.2,11.7,,,0,,2020-01-04T05:12:55,2020-01-04T18:04:44,0.31,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/5/2020,31.1,25,27.2,37.4,25,28.8,22.8,77.31,0,,0,,,,,9.3,78.5,1011.5,4.8,11.5,,,0,,2020-01-05T05:13:30,2020-01-05T18:05:04,0.36,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/6/2020,30.5,25,27.5,37.2,25,30.2,23.4,78.96,0,,0,,,,,25.5,95,1011.8,21.8,11.7,,,0,,2020-01-06T05:14:04,2020-01-06T18:05:23,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/7/2020,29.8,25,27.4,34.8,25,30.6,23.8,80.62,0,,0,,,,,25.3,63.6,1012.7,37.1,11.7,,,0,,2020-01-07T05:14:38,2020-01-07T18:05:41,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83248099999,86657099999,SBSV"
"Salvador, Brazil",1/8/2020,31.1,24.7,27.5,34.4,24.7,28.7,21.3,69.81,0,,0,,,,,14.8,112.3,1012.4,10,11.7,,,0,,2020-01-08T05:15:12,2020-01-08T18:05:58,0.47,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/9/2020,30.5,23,26.6,33.3,23,27.3,20.3,69.03,0,,0,,,,,13,121.7,1012.4,6.5,11.7,,,0,,2020-01-09T05:15:47,2020-01-09T18:06:14,0.49,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",1/10/2020,31,24,27.1,34.1,24,28.2,21.6,72.59,0,,0,,,,29.5,7.6,103.9,1012.8,9.1,11.7,,,0,,2020-01-10T05:16:21,2020-01-10T18:06:29,0.5,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
