name,Year,EW,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"bogota, columbia",,,1/1/2020,20.3,8,14.2,20.3,7.3,14.1,10.6,81.04,0,,0,,,,,26.9,213.5,1012,50.1,9,,,,,2020-01-01T06:03:56,2020-01-01T17:55:30,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/2/2020,23,8.5,15.5,23,8,15.5,10.7,75.41,0,,0,,,,,27.1,204.2,1013.2,43.5,10.2,,,,,2020-01-02T06:04:22,2020-01-02T17:56:00,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/3/2020,22.2,7.5,14.1,22.2,7.5,14.1,9.1,76.16,0,,0,,,,,21.6,246.2,1015,36.4,10.3,,,,,2020-01-03T06:04:48,2020-01-03T17:56:29,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/4/2020,21.4,6,13.6,21.4,5.1,13.4,8.4,74.88,0,,0,,,,,25.2,244.4,1014.4,39.6,9.5,,,,,2020-01-04T06:05:14,2020-01-04T17:56:59,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/5/2020,20.3,7,13.8,20.3,7,13.8,9.2,76.22,0,,0,,,,,25.3,228.2,1013.4,29.8,9.4,,,,,2020-01-05T06:05:38,2020-01-05T17:57:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/6/2020,21.3,5,13.2,,,,8.6,76.98,0,,0,,,,,25.5,244.9,1012.4,49.2,10.4,,,,,2020-01-06T06:06:03,2020-01-06T17:57:57,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/7/2020,21.3,8,14,21.3,7.4,13.9,8.6,74.01,0,,0,,,,,22,229,1013,33,9.9,,,,,2020-01-07T06:06:26,2020-01-07T17:58:26,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/8/2020,23.3,5,13.5,,,,6.2,67.36,0,,0,,,,31.7,20.2,147.7,1013.7,35.7,9.1,,,,,2020-01-08T06:06:49,2020-01-08T17:58:55,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/9/2020,23.3,4,13.1,,,,6,67.49,0,,0,,,,,24.2,200.6,1013.8,20,10.3,,,,,2020-01-09T06:07:11,2020-01-09T17:59:23,0.49,Clear,Partly cloudy throughout the day.,clear-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/10/2020,21.3,4,12.9,21.3,2.8,12.8,4.1,61.26,0,,0,,,,,27,150.3,1013,19.7,10.8,,,,,2020-01-10T06:07:33,2020-01-10T17:59:50,0.5,Clear,Clear conditions throughout the day.,clear-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/11/2020,19.3,4,13.1,,,,5.7,62.57,0,,0,,,,,22,115,1012,64.2,10.8,,,,,2020-01-11T06:07:54,2020-01-11T18:00:18,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/12/2020,20.4,10.9,15,20.4,10.9,15,7.7,62.95,0,,0,,,,,22,101.1,1014,62.7,11.1,,,,,2020-01-12T06:08:14,2020-01-12T18:00:45,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/13/2020,23.2,9,15.3,23.2,7.9,15.2,6.6,59.89,0,,0,,,,,27.7,116.5,1014.5,39.5,11,,,,,2020-01-13T06:08:33,2020-01-13T18:01:11,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/14/2020,21.3,9.6,14.9,21.3,8.6,14.6,7.5,64.12,0,,0,,,,,25.4,97.1,1012.5,48.2,11.3,,,,,2020-01-14T06:08:52,2020-01-14T18:01:37,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/15/2020,21.4,7,14.1,21.4,5.2,13.6,7,65.34,0,,0,,,,,25.1,85,1013.7,31.6,11.5,,,,,2020-01-15T06:09:10,2020-01-15T18:02:02,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/16/2020,24.3,7,13.6,24.3,4.8,13.1,8.6,72.79,0,,0,,,,,20.2,85.8,1014.8,70.4,11,,,,,2020-01-16T06:09:27,2020-01-16T18:02:27,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/17/2020,20.1,12,15.7,20.1,12,15.7,9.1,65.77,0,,0,,,,42.5,31,113.7,1015.5,65.7,10.8,,,,,2020-01-17T06:09:43,2020-01-17T18:02:52,0.75,Partially cloudy,Partly cloudy throughout the day.,wind,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/18/2020,18.3,9,14.8,18.3,7.6,14.7,8.7,67.85,0,,0,,,,,20.7,97.8,1014,57.5,11.2,,,,,2020-01-18T06:09:59,2020-01-18T18:03:15,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/19/2020,20.2,8.8,14.3,20.2,7,14.1,9.1,72.74,0,,0,,,,33.5,21.7,75.5,1013.3,55.3,11.1,,,,,2020-01-19T06:10:13,2020-01-19T18:03:38,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/20/2020,20.3,10,14.6,20.3,9.1,14.6,9.9,74.98,0,,0,,,,,18,170,1013,58.4,11.2,,,,,2020-01-20T06:10:27,2020-01-20T18:04:01,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
"bogota, columbia",,,1/21/2020,20.3,11,14.8,20.3,11,14.8,10.7,77.49,0,,0,,,,,18,211,1012.5,56.3,9.8,,,,,2020-01-21T06:10:40,2020-01-21T18:04:23,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
